series_code,category,price_type,adjustment_type,date,sales_value,price_flag,seasonal_adjusted,year,month,quarter
sales621C,General dealers,At current prices,Actual values,2005-06-01,11630.0,Current,False,2005,6,2005Q2
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-06-01,2772.0,Current,False,2005,6,2005Q2
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-06-01,1911.0,Current,False,2005,6,2005Q2
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-06-01,3975.0,Current,False,2005,6,2005Q2
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-06-01,2231.0,Current,False,2005,6,2005Q2
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-06-01,3093.0,Current,False,2005,6,2005Q2
sales6239,All other retailers,At current prices,Actual values,2005-06-01,4836.0,Current,False,2005,6,2005Q2
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-06-01,11952.0,Current,True,2005,6,2005Q2
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-06-01,2939.0,Current,True,2005,6,2005Q2
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-06-01,1876.0,Current,True,2005,6,2005Q2
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-06-01,4579.0,Current,True,2005,6,2005Q2
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-06-01,2363.0,Current,True,2005,6,2005Q2
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-06-01,3073.0,Current,True,2005,6,2005Q2
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-06-01,5298.0,Current,True,2005,6,2005Q2
con_act,,At constant prices,Actual values,2005-07-01,57078.0,Constant,False,2005,7,2005Q3
con_seas,,At constant prices,Seasonally adjusted values,2005-07-01,59564.0,Constant,False,2005,7,2005Q3
cur_act,,At current prices,Actual values,2005-07-01,30879.0,Current,False,2005,7,2005Q3
cur_seas,,At current prices,Seasonally adjusted values,2005-07-01,32185.0,Current,False,2005,7,2005Q3
